student_id,name,cohort_year,program_code,school_id,y1s1_attendance_rate,y1s1_gpa,y1s1_avg_grade,y1s1_lms_activities,y1s1_courses_enrolled,y1s1_exam_eligible,y1s1_attendance_below_67,y1s1_gpa_below_2,y1s1_grade_below_40,y1s1_low_engagement,dropped_out,graduated_on_time,delayed_graduation,failed_courses,final_status
H2021_101963,James Kibet,2021,BBIT,SCES,0.651,2.33,65.5,61,7,0,1,0,0,0,0,1,0,0,GRADUATED
H2021_100394,Joseph Kibet,2021,BCOM,SBS,0.854,3.7,91.5,110,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_104843,Michael Muthoni,2021,LLB,SLS,0.312,1.6,52.3,32,6,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_104867,David Ochieng,2021,LLB,SLS,0.961,3.75,87.6,191,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101756,David Muthoni,2021,BBIT,SCES,0.862,3.14,84.1,69,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102516,Faith Achieng,2021,BBSF,SIMS,0.787,3.14,71.1,87,7,1,0,0,0,0,0,0,1,0,DELAYED
H2021_103586,Peter Wanjiru,2021,BACO,SHSS,0.511,1.5,43.3,30,6,0,1,1,0,1,0,0,1,0,DELAYED
H2021_104316,James Wanjiru,2021,LLB,SLS,0.88,3.41,73.8,82,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104967,Joseph Wambui,2021,LLB,SLS,0.855,3.91,91.4,127,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102100,Jane Njoroge,2021,BICS,SCES,0.738,2.4,60.6,76,7,1,0,0,0,0,0,0,1,0,DELAYED
H2021_103600,John Wanjiru,2021,BAIS,SHSS,0.935,3.72,93.5,132,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104122,Peter Achieng,2021,BACO,SHSS,0.799,3.3,83.3,78,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100030,Daniel Njoroge,2021,BFS,SBS,0.889,2.97,72.4,111,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_100066,Michael Kamau,2021,BCOM,SBS,0.864,3.98,92.5,173,7,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_100839,Ruth Njoroge,2021,BCOM,SBS,0.78,3.46,77.2,94,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103907,Jane Wanjiru,2021,BAIS,SHSS,0.798,2.88,72.8,58,7,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_103774,Ann Kibet,2021,BACO,SHSS,0.681,1.92,40.1,38,7,1,0,1,0,1,1,0,0,1,DROPPED_OUT
H2021_104636,Kevin Achieng,2021,LLB,SLS,0.755,2.43,72.0,51,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103162,James Njoroge,2021,BBSE,SIMS,0.321,1.57,55.9,31,6,0,1,1,0,1,0,1,0,0,GRADUATED
H2021_102660,Daniel Achieng,2021,BSSD,SIMS,0.678,2.39,64.4,50,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_104616,Mary Njoroge,2021,LLB,SLS,0.901,3.91,88.5,183,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104629,James Kibet,2021,LLB,SLS,0.304,2.33,40.4,45,6,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_102452,Peter Wambui,2021,BBIT,SCES,0.739,2.79,71.3,42,7,1,0,0,0,1,0,1,0,1,GRADUATED
H2021_102847,David Wanjiru,2021,BBSE,SIMS,0.699,2.59,68.2,70,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101145,John Ochieng,2021,BFS,SBS,0.772,3.47,70.9,103,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103079,James Njoroge,2021,BBSF,SIMS,0.777,2.78,56.7,45,7,1,0,0,0,1,0,0,1,1,DELAYED
H2021_101104,Grace Kamau,2021,BFS,SBS,0.625,2.07,53.3,11,7,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_100169,Grace Ochieng,2021,BSCM,SBS,0.842,3.25,76.1,87,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101671,Joseph Ochieng,2021,BEEE,SCES,0.463,2.17,45.2,50,7,0,1,0,0,0,1,0,0,1,DROPPED_OUT
H2021_102571,Lucy Njoroge,2021,BBSE,SIMS,0.88,3.46,77.8,78,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102378,Daniel Wanjiru,2021,BBIT,SCES,0.914,3.62,91.4,169,6,1,0,0,0,0,0,0,1,1,DELAYED
H2021_104396,Joseph Achieng,2021,LLB,SLS,0.918,3.85,84.1,147,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104258,James Achieng,2021,BSCP,SHSS,0.701,2.45,64.8,63,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103863,Joseph Kamau,2021,BAIS,SHSS,0.933,3.5,87.0,176,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100024,Ruth Wanjiru,2021,BCOM,SBS,0.919,4.0,94.9,109,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102634,Daniel Ochieng,2021,BBSE,SIMS,0.77,2.4,70.3,71,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103341,Kevin Wanjiru,2021,BSCP,SHSS,0.789,2.78,67.8,59,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102216,Mary Kamau,2021,BCNC,SCES,0.813,2.88,82.6,64,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103683,Jane Wambui,2021,BAIS,SHSS,0.86,3.02,74.2,80,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104725,Kevin Muthoni,2021,LLB,SLS,0.856,3.67,90.0,156,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101908,Ruth Wanjiru,2021,BEEE,SCES,0.967,3.8,91.8,180,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100085,Ruth Kibet,2021,BCOM,SBS,0.937,3.87,81.4,137,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100228,Michael Njoroge,2021,BSCM,SBS,0.787,3.3,82.4,108,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100297,Jane Muthoni,2021,BCOM,SBS,0.695,2.36,56.3,57,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101002,Joseph Ochieng,2021,BFS,SBS,0.737,2.51,67.8,68,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_102139,Joseph Kamau,2021,BCNC,SCES,0.953,3.87,89.9,102,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_100712,Grace Ochieng,2021,BCOM,SBS,0.901,3.6,90.0,128,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102802,Ruth Wambui,2021,BSSD,SIMS,0.768,2.5,62.7,60,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102528,Mary Ochieng,2021,BBSE,SIMS,0.85,3.67,80.4,110,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_103753,Joseph Ochieng,2021,BADS,SHSS,0.984,3.84,91.5,147,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103322,Sarah Kibet,2021,BAIS,SHSS,0.646,1.97,40.0,38,7,0,1,1,0,1,0,1,0,0,GRADUATED
H2021_103182,Ruth Kibet,2021,BBSF,SIMS,0.658,2.41,68.7,49,6,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_104184,Ann Kibet,2021,BADS,SHSS,0.801,3.3,75.5,82,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101616,Mary Kamau,2021,BICS,SCES,0.734,2.57,73.4,70,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103025,Peter Ochieng,2021,BBSE,SIMS,0.932,3.77,81.8,174,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101414,Daniel Kibet,2021,BCNC,SCES,0.617,1.9,43.3,29,7,0,1,1,0,1,0,1,0,1,GRADUATED
H2021_100764,James Muthoni,2021,BCOM,SBS,0.707,2.84,63.0,45,7,1,0,0,0,1,0,1,0,0,GRADUATED
H2021_100656,John Kibet,2021,BFS,SBS,0.89,3.66,88.3,108,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104798,Faith Wanjiru,2021,LLB,SLS,0.677,2.31,73.3,54,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103850,Kevin Kibet,2021,BSCP,SHSS,0.396,1.83,46.6,43,6,0,1,1,0,1,0,1,0,0,GRADUATED
H2021_104154,Sarah Muthoni,2021,BSCP,SHSS,0.897,3.13,78.4,69,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100469,Grace Kibet,2021,BCOM,SBS,0.798,2.93,74.1,80,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100158,James Njoroge,2021,BFS,SBS,0.873,2.97,78.6,104,6,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_101296,Peter Achieng,2021,BBIT,SCES,0.668,2.76,70.6,69,7,0,1,0,0,0,0,1,0,0,GRADUATED
H2021_100498,Sarah Wanjiru,2021,BCOM,SBS,0.679,2.31,56.8,78,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104741,Michael Kamau,2021,LLB,SLS,0.694,2.59,58.7,74,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_102941,John Muthoni,2021,BBSA,SIMS,0.881,2.85,83.5,90,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103457,Daniel Kamau,2021,BADS,SHSS,0.786,3.04,74.1,71,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100374,Michael Njoroge,2021,BSCM,SBS,0.851,3.05,79.8,70,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100080,Michael Wambui,2021,BSCM,SBS,0.548,1.72,57.4,19,6,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_101554,Joseph Achieng,2021,BCNC,SCES,0.8,2.81,72.4,82,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101670,David Njoroge,2021,BICS,SCES,0.366,1.91,43.1,25,6,0,1,1,0,1,0,1,0,1,GRADUATED
H2021_102132,Michael Muthoni,2021,BBIT,SCES,0.894,2.93,82.6,97,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_104440,Peter Kamau,2021,LLB,SLS,0.877,3.17,74.6,102,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100466,Daniel Wambui,2021,BFS,SBS,0.967,3.96,86.7,103,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100249,Mary Ochieng,2021,BCOM,SBS,0.666,1.79,54.8,46,6,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_100932,Ruth Kamau,2021,BFS,SBS,0.374,1.89,31.6,29,7,0,1,1,1,1,1,0,0,1,DROPPED_OUT
H2021_101336,Peter Kibet,2021,BCNC,SCES,0.926,3.8,93.3,130,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104525,Grace Muthoni,2021,LLB,SLS,0.504,1.94,32.9,40,6,0,1,1,1,1,1,0,0,1,DROPPED_OUT
H2021_101339,Daniel Ochieng,2021,BBIT,SCES,0.967,3.89,90.4,192,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_101407,Lucy Kibet,2021,BEEE,SCES,0.884,4.0,87.6,171,7,1,0,0,0,0,0,0,1,0,DELAYED
H2021_101091,Peter Ochieng,2021,BSCM,SBS,0.868,3.86,81.9,144,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104210,Lucy Wanjiru,2021,BSCP,SHSS,0.777,2.66,73.1,80,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100743,Ann Kamau,2021,BCOM,SBS,0.922,3.77,83.7,121,7,1,0,0,0,0,0,0,1,0,DELAYED
H2021_102324,Grace Muthoni,2021,BICS,SCES,0.873,3.95,88.0,133,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103602,Sarah Muthoni,2021,BSCP,SHSS,0.892,3.33,76.1,120,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102124,Sarah Muthoni,2021,BBIT,SCES,0.772,2.73,58.3,48,7,1,0,0,0,1,0,1,0,0,GRADUATED
H2021_102095,Joseph Njoroge,2021,BICS,SCES,0.881,3.29,71.1,69,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100241,David Kamau,2021,BCOM,SBS,0.682,2.19,30.5,14,7,1,0,0,1,1,1,0,0,1,DROPPED_OUT
H2021_102352,Daniel Kibet,2021,BEEE,SCES,0.445,1.72,54.1,15,6,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_101371,Faith Kibet,2021,BICS,SCES,0.966,3.94,88.5,124,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101058,Daniel Wambui,2021,BSCM,SBS,0.89,3.13,82.8,79,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104817,Mary Njoroge,2021,LLB,SLS,0.877,3.58,90.8,148,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100200,Joseph Wanjiru,2021,BFS,SBS,0.496,1.82,58.2,37,7,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_102281,Peter Wanjiru,2021,BBIT,SCES,0.811,3.23,83.6,77,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104750,John Wambui,2021,LLB,SLS,0.782,2.71,66.4,63,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_102221,Mary Muthoni,2021,BBIT,SCES,0.974,3.86,88.3,140,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104772,Grace Wambui,2021,LLB,SLS,0.873,3.91,88.6,146,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102820,Sarah Muthoni,2021,BBSA,SIMS,0.981,3.71,87.1,107,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103151,John Ochieng,2021,BSSD,SIMS,0.396,2.12,47.1,23,7,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_104257,James Wambui,2021,BSCP,SHSS,0.763,3.23,82.1,117,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103108,Peter Njoroge,2021,BBSF,SIMS,0.766,2.87,80.0,60,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101974,Michael Wanjiru,2021,BEEE,SCES,0.925,3.88,81.9,177,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101376,Lucy Njoroge,2021,BBIT,SCES,0.438,2.07,57.7,23,6,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_103969,David Wanjiru,2021,BADS,SHSS,0.752,2.72,72.4,73,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_104063,David Kibet,2021,BAIS,SHSS,0.854,3.66,91.0,141,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104446,Peter Wanjiru,2021,LLB,SLS,0.869,3.48,84.0,93,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103558,Lucy Achieng,2021,BADS,SHSS,0.874,3.69,88.6,145,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100965,Faith Kamau,2021,BSCM,SBS,0.902,3.7,81.9,161,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100180,Kevin Muthoni,2021,BFS,SBS,0.865,3.52,89.0,190,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_103699,Joseph Ochieng,2021,BAIS,SHSS,0.756,3.19,81.4,68,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103822,David Achieng,2021,BSCP,SHSS,0.73,2.59,64.2,55,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104879,Kevin Wambui,2021,LLB,SLS,0.599,1.51,37.8,13,6,0,1,1,1,1,0,1,0,0,GRADUATED
H2021_103900,Faith Muthoni,2021,BACO,SHSS,0.788,2.84,79.1,74,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104488,Lucy Kamau,2021,LLB,SLS,0.76,3.42,80.1,74,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103239,John Kamau,2021,BBSF,SIMS,0.971,3.95,87.7,162,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_102975,Ruth Kamau,2021,BSSD,SIMS,0.695,2.47,58.3,67,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103581,Kevin Ochieng,2021,BSCP,SHSS,0.785,2.83,71.7,64,7,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_102888,Faith Wambui,2021,BBSE,SIMS,0.782,2.87,57.4,50,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102576,Michael Kamau,2021,BBSE,SIMS,0.833,3.37,82.2,119,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101420,Peter Ochieng,2021,BICS,SCES,0.929,3.9,82.6,169,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103908,Mary Wambui,2021,BSCP,SHSS,0.813,3.07,75.6,104,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104674,Daniel Achieng,2021,LLB,SLS,0.774,3.08,84.5,107,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104903,Daniel Achieng,2021,LLB,SLS,0.685,2.34,59.3,56,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101861,Kevin Kibet,2021,BCNC,SCES,0.889,3.71,84.6,182,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100009,Grace Njoroge,2021,BFS,SBS,0.683,2.9,65.2,45,6,1,0,0,0,1,0,0,1,0,DELAYED
H2021_102895,Jane Ochieng,2021,BBSA,SIMS,0.852,3.65,83.0,130,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102848,Lucy Achieng,2021,BBSA,SIMS,0.795,3.02,75.2,92,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103665,Michael Ochieng,2021,BACO,SHSS,0.864,3.62,94.7,178,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100145,Daniel Kamau,2021,BCOM,SBS,0.844,3.23,71.4,101,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102105,Kevin Ochieng,2021,BICS,SCES,0.755,2.33,55.5,54,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_103144,Jane Wambui,2021,BBSF,SIMS,0.918,3.76,94.1,132,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100842,Ruth Muthoni,2021,BCOM,SBS,0.855,3.87,82.8,189,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101129,Joseph Kamau,2021,BSCM,SBS,0.687,2.38,74.2,71,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100152,Michael Achieng,2021,BSCM,SBS,0.539,2.26,50.2,28,7,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_103592,Kevin Muthoni,2021,BACO,SHSS,0.555,2.28,55.1,34,7,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_101053,Grace Achieng,2021,BFS,SBS,0.838,3.24,81.3,60,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101591,Ann Achieng,2021,BICS,SCES,0.925,3.82,82.5,182,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103009,Ruth Wanjiru,2021,BSSD,SIMS,0.8,3.13,77.4,80,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102030,Joseph Njoroge,2021,BCNC,SCES,0.64,2.13,34.8,38,6,0,1,0,1,1,0,1,0,0,GRADUATED
H2021_103419,Kevin Kamau,2021,BADS,SHSS,0.798,2.56,69.8,54,7,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_101808,Daniel Muthoni,2021,BEEE,SCES,0.561,1.84,36.2,40,7,0,1,1,1,1,0,1,0,0,GRADUATED
H2021_102697,Jane Njoroge,2021,BBSF,SIMS,0.675,2.37,44.9,43,6,1,0,0,0,1,0,1,0,0,GRADUATED
H2021_103040,Daniel Ochieng,2021,BBSF,SIMS,0.767,2.34,61.9,68,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100473,Lucy Muthoni,2021,BCOM,SBS,0.972,3.96,87.0,158,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103290,James Wanjiru,2021,BBSF,SIMS,0.887,3.88,92.7,136,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_104075,Kevin Ochieng,2021,BSCP,SHSS,0.756,2.62,69.7,57,7,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103497,John Kamau,2021,BSCP,SHSS,0.969,3.72,81.2,158,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100280,Michael Wanjiru,2021,BFS,SBS,0.776,3.0,71.2,114,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101742,John Kamau,2021,BEEE,SCES,0.542,1.53,32.9,25,6,0,1,1,1,1,1,0,0,1,DROPPED_OUT
H2021_104625,Michael Kamau,2021,LLB,SLS,0.527,2.38,40.6,48,7,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_102887,Faith Achieng,2021,BBSF,SIMS,0.827,3.11,83.3,115,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101942,Faith Ochieng,2021,BCNC,SCES,0.853,2.82,71.4,104,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100101,David Ochieng,2021,BFS,SBS,0.441,2.1,52.5,13,7,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_102805,Sarah Achieng,2021,BBSE,SIMS,0.756,3.0,71.3,103,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103571,John Njoroge,2021,BAIS,SHSS,0.323,2.27,43.3,49,7,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_103685,Ruth Njoroge,2021,BACO,SHSS,0.757,3.01,80.0,90,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_103662,Jane Wanjiru,2021,BSCP,SHSS,0.89,3.72,84.5,105,6,1,0,0,0,0,0,0,1,0,DELAYED
H2021_100531,Kevin Wanjiru,2021,BCOM,SBS,0.548,2.22,58.4,14,7,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_101887,Mary Achieng,2021,BCNC,SCES,0.87,3.88,83.6,140,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100682,John Muthoni,2021,BCOM,SBS,0.655,2.37,60.8,52,7,0,1,0,0,0,0,1,0,0,GRADUATED
H2021_103795,Ann Kibet,2021,BSCP,SHSS,0.404,1.8,45.8,12,7,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_103945,Kevin Wanjiru,2021,BADS,SHSS,0.875,2.84,82.9,92,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104667,James Ochieng,2021,LLB,SLS,0.781,2.45,66.1,73,6,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_102019,Daniel Achieng,2021,BBIT,SCES,0.313,1.67,31.6,42,7,0,1,1,1,1,1,0,0,1,DROPPED_OUT
H2021_101097,Sarah Kibet,2021,BFS,SBS,0.781,2.9,74.1,80,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100830,Kevin Kibet,2021,BSCM,SBS,0.89,2.91,74.2,83,7,1,0,0,0,0,0,1,0,0,GRADUATED
