student_id,name,email,school,program,year_of_study,enrollment_date,attendance_rate,avg_engagement_score,assignment_completion_rate,avg_assignment_score,avg_grade_points,avg_login_count,time_spent_minutes,consecutive_absences,repeat_courses,forum_posts,late_submissions,help_requests,total_enrollments
STU20020,Student_21,student21@strathmore.edu,SCES,CNS,4,2022-02-02,88.2,80.6,0.9,92.4,4.0,14.81,186.85,4,0,12,1,5,7
STU20021,Student_22,student22@strathmore.edu,SBS,BFS,1,2024-10-15,90.15,77.69,0.84,79.19,4.0,11.69,191.52,2,0,11,1,1,5
STU20022,Student_23,student23@strathmore.edu,SHSS,BA,4,2021-12-21,84.41,68.24,0.84,93.86,4.0,12.06,170.3,2,0,10,3,4,7
STU20023,Student_24,student24@strathmore.edu,STH,BTM,3,2022-12-27,87.77,76.67,0.82,78.95,4.0,10.7,168.74,4,0,17,1,7,5
STU20024,Student_25,student25@strathmore.edu,STH,BHM,2,2024-01-07,66.96,62.73,0.73,95.0,4.0,8.11,148.55,9,1,13,4,10,6
STU20025,Student_26,student26@strathmore.edu,SCES,BBIT,1,2024-09-11,83.71,77.26,0.68,85.56,3.94,14.34,167.24,0,0,6,4,9,8
STU20026,Student_27,student27@strathmore.edu,SBS,BCOM,4,2021-09-21,90.96,89.21,0.87,95.0,4.0,12.41,184.26,0,0,10,2,10,8
STU20027,Student_28,student28@strathmore.edu,SHSS,COMMON UNITS,1,2024-09-21,89.64,84.35,0.86,86.53,4.0,10.71,206.27,4,0,18,4,3,6
STU20028,Student_29,student29@strathmore.edu,SBS,BSCM,3,2022-08-12,91.96,90.98,0.8,85.18,4.0,12.94,202.7,4,0,13,0,9,7
STU20029,Student_30,student30@strathmore.edu,STH,BHM,4,2021-08-22,90.4,81.56,0.74,84.08,4.0,10.57,202.22,3,0,18,1,5,8
STU20030,Student_31,student31@strathmore.edu,STH,BTM,1,2025-01-18,85.67,72.8,0.77,89.49,4.0,11.51,149.13,0,0,11,0,5,6
STU20031,Student_32,student32@strathmore.edu,SCES,BBIT,1,2025-01-16,88.04,79.97,0.82,94.52,4.0,10.46,157.64,4,0,14,0,6,5
STU20032,Student_33,student33@strathmore.edu,SHSS,BA,4,2022-01-17,91.1,76.97,0.95,88.9,4.0,12.85,158.0,0,0,10,0,3,7
STU20033,Student_34,student34@strathmore.edu,SHSS,COMMON UNITS,1,2025-01-01,91.86,83.79,0.88,80.88,4.0,12.3,170.97,3,0,12,7,6,6
STU20034,Student_35,student35@strathmore.edu,SCES,BBIT,3,2022-12-18,86.61,83.79,0.95,87.76,4.0,11.2,187.13,3,0,11,0,7,8
STU20035,Student_36,student36@strathmore.edu,SCES,CNS,2,2023-10-08,89.28,82.76,0.95,91.4,4.0,11.68,198.61,2,0,12,0,6,5
STU20036,Student_37,student37@strathmore.edu,SCES,BBIT,2,2023-11-10,82.09,77.63,0.76,82.76,4.0,10.86,184.85,0,0,10,3,0,6
STU20037,Student_38,student38@strathmore.edu,SLS,LAW,2,2023-12-31,85.57,92.04,0.74,88.32,4.0,13.92,226.46,1,0,17,2,6,7
STU20038,Student_39,student39@strathmore.edu,SLS,LAW,1,2025-01-15,82.99,81.41,0.95,95.0,4.0,11.93,197.09,3,0,16,2,4,5
STU20039,Student_40,student40@strathmore.edu,SBS,BCOM,3,2023-01-12,62.27,65.54,0.51,73.94,3.37,9.66,163.94,10,2,13,5,10,8
STU20040,Student_41,student41@strathmore.edu,SCES,BBIT,2,2023-10-25,85.07,75.09,0.84,92.92,4.0,11.84,158.67,3,0,13,1,6,8
STU20041,Student_42,student42@strathmore.edu,SLS,LAW,4,2021-11-29,87.07,71.45,0.62,87.26,4.0,11.04,160.88,0,0,12,4,4,8
STU20042,Student_43,student43@strathmore.edu,SBS,BCOM,3,2022-10-03,80.25,73.1,0.87,89.1,4.0,11.22,163.78,4,0,10,1,4,7
STU20043,Student_44,student44@strathmore.edu,SHSS,BA,4,2021-09-09,88.07,84.82,0.73,93.5,4.0,12.32,199.14,1,0,8,2,6,7
STU20044,Student_45,student45@strathmore.edu,SHSS,BA,2,2023-09-29,62.12,59.81,0.5,80.8,3.75,9.81,139.75,5,0,13,8,4,5
STU20045,Student_46,student46@strathmore.edu,SHSS,BA,4,2022-01-18,61.07,55.61,0.57,74.51,3.03,9.79,139.61,9,0,11,7,5,6
STU20046,Student_47,student47@strathmore.edu,SBS,BSCM,1,2024-09-11,80.98,75.11,0.65,80.83,4.0,11.36,175.25,3,0,9,2,6,5
STU20047,Student_48,student48@strathmore.edu,SHSS,COMMON UNITS,1,2024-08-19,75.59,75.25,0.58,93.75,3.91,11.13,158.83,4,0,14,2,10,7
STU20048,Student_49,student49@strathmore.edu,SBS,BFS,3,2022-11-16,82.12,72.38,0.72,88.87,4.0,11.8,163.77,1,0,18,6,2,8
STU20049,Student_50,student50@strathmore.edu,SLS,LAW,3,2022-11-20,91.94,86.16,0.75,90.34,4.0,11.72,208.2,1,0,14,1,4,5
STU20050,Student_51,student51@strathmore.edu,SCES,BBIT,2,2023-09-13,90.14,82.81,0.85,75.84,4.0,12.37,164.0,0,0,12,0,1,6
STU20051,Student_52,student52@strathmore.edu,SCES,BBIT,1,2024-11-06,86.43,85.32,0.75,92.41,4.0,12.29,222.2,4,0,12,3,9,7
STU20052,Student_53,student53@strathmore.edu,STH,BTM,1,2024-09-17,91.75,91.41,0.75,95.0,4.0,14.24,218.95,2,0,10,5,3,7
STU20053,Student_54,student54@strathmore.edu,STH,BTM,4,2022-01-01,60.47,59.34,0.53,66.32,3.17,7.67,140.47,10,0,6,2,8,5
STU20054,Student_55,student55@strathmore.edu,SHSS,BA,1,2024-11-23,85.96,65.57,0.85,81.67,3.6,10.21,159.22,4,0,11,6,7,7
STU20055,Student_56,student56@strathmore.edu,SHSS,COMMON UNITS,3,2022-11-29,66.44,68.42,0.53,94.22,3.82,10.31,159.72,6,2,14,2,1,7
STU20056,Student_57,student57@strathmore.edu,STH,BTM,1,2024-10-18,83.14,77.79,0.85,93.35,4.0,12.4,141.48,0,0,9,2,6,5
STU20057,Student_58,student58@strathmore.edu,STH,BTM,3,2022-08-25,91.4,79.4,0.74,89.46,4.0,11.23,178.19,2,0,14,2,5,8
STU20058,Student_59,student59@strathmore.edu,SCES,BBIT,3,2022-09-14,87.77,76.96,0.72,91.69,4.0,10.63,179.82,4,0,16,3,5,5
STU20059,Student_60,student60@strathmore.edu,SHSS,BA,2,2023-11-02,81.82,68.97,0.89,94.24,4.0,11.26,154.39,1,0,11,0,7,8
STU20060,Student_61,student61@strathmore.edu,SCES,ICS,1,2024-11-02,79.43,76.64,0.61,90.19,4.0,12.16,173.34,1,0,7,2,7,6
STU20061,Student_62,student62@strathmore.edu,SHSS,COMMON UNITS,3,2022-11-06,85.47,82.58,0.71,80.53,4.0,11.76,183.92,1,0,12,0,7,6
STU20062,Student_63,student63@strathmore.edu,SLS,LAW,4,2021-12-21,88.24,82.45,0.8,87.88,4.0,10.69,174.14,1,0,13,3,6,6
STU20063,Student_64,student64@strathmore.edu,SBS,BFS,3,2022-10-22,66.16,65.67,0.54,87.05,3.71,10.12,132.69,10,1,8,5,12,6
STU20064,Student_65,student65@strathmore.edu,SLS,LAW,2,2024-01-26,92.47,89.85,0.86,89.97,4.0,14.79,208.98,0,0,13,3,1,6
STU20065,Student_66,student66@strathmore.edu,SBS,BCOM,2,2023-12-08,85.04,74.55,0.66,93.57,4.0,11.17,156.01,3,0,12,2,4,6
STU20066,Student_67,student67@strathmore.edu,STH,BHM,2,2024-01-18,83.48,78.48,0.68,83.28,4.0,10.21,180.68,3,0,13,3,8,8
STU20067,Student_68,student68@strathmore.edu,SCES,ICS,2,2024-01-28,93.81,91.01,0.79,82.1,4.0,14.75,183.35,4,0,11,1,1,6
STU20068,Student_69,student69@strathmore.edu,SCES,BBIT,4,2021-11-29,88.66,81.09,0.82,82.3,4.0,14.12,190.41,4,0,20,1,9,8
STU20069,Student_70,student70@strathmore.edu,SLS,LAW,3,2022-11-16,82.46,79.86,0.71,87.97,4.0,11.62,127.66,2,0,14,0,5,8
STU20070,Student_71,student71@strathmore.edu,SCES,CNS,1,2024-10-15,44.35,50.0,0.5,72.72,3.13,8.96,138.98,11,2,8,4,13,6
STU20071,Student_72,student72@strathmore.edu,STH,BHM,1,2024-08-17,62.33,65.05,0.64,83.84,3.59,10.24,165.89,7,1,9,1,10,5
STU20072,Student_73,student73@strathmore.edu,SLS,LAW,2,2023-08-18,87.72,67.38,0.72,81.27,3.82,9.67,173.03,2,0,14,2,9,8
STU20073,Student_74,student74@strathmore.edu,SLS,LAW,1,2024-10-19,36.92,50.0,0.5,78.08,3.26,7.79,102.97,12,3,14,2,9,7
STU20074,Student_75,student75@strathmore.edu,STH,BHM,2,2024-02-04,90.63,83.64,0.95,92.4,4.0,11.89,195.82,3,0,13,0,8,6
STU20075,Student_76,student76@strathmore.edu,STH,BHM,3,2022-09-02,88.77,85.87,0.88,85.22,4.0,10.42,194.09,3,0,16,4,8,8
STU20076,Student_77,student77@strathmore.edu,SBS,BSCM,1,2024-10-05,50.22,50.0,0.56,75.86,3.4,8.93,111.96,15,3,11,2,6,5
STU20077,Student_78,student78@strathmore.edu,SHSS,COMMON UNITS,2,2023-08-26,89.35,86.77,0.9,90.44,4.0,10.46,192.43,2,0,15,1,3,5
STU20078,Student_79,student79@strathmore.edu,SBS,BCOM,3,2022-12-09,85.66,85.75,0.76,93.87,4.0,11.72,194.4,1,0,17,6,6,5
STU20079,Student_80,student80@strathmore.edu,SHSS,BA,1,2024-10-05,84.48,76.4,0.79,95.0,4.0,10.55,168.59,0,0,9,1,7,8
STU20080,Student_81,student81@strathmore.edu,SBS,BSCM,4,2021-09-10,81.02,78.86,0.66,95.0,4.0,13.79,178.77,3,0,10,1,3,8
STU20081,Student_82,student82@strathmore.edu,SCES,BBIT,2,2023-12-29,89.61,87.94,0.65,85.66,4.0,12.31,193.6,3,0,11,4,11,8
STU20082,Student_83,student83@strathmore.edu,SHSS,COMMON UNITS,1,2024-08-09,81.59,71.99,0.69,92.71,4.0,10.84,184.78,1,0,15,0,8,5
STU20083,Student_84,student84@strathmore.edu,SHSS,COMMON UNITS,2,2023-10-09,32.31,50.0,0.5,65.59,2.91,7.74,94.97,11,1,6,6,16,8
STU20084,Student_85,student85@strathmore.edu,SLS,LAW,3,2022-09-28,86.58,76.19,0.71,84.46,4.0,9.86,159.96,4,0,10,0,5,6
STU20085,Student_86,student86@strathmore.edu,STH,BHM,2,2023-12-03,88.54,85.58,0.67,91.98,4.0,12.61,193.94,3,0,14,1,10,6
STU20086,Student_87,student87@strathmore.edu,SBS,BFS,2,2023-11-23,85.17,84.38,0.89,82.13,4.0,13.47,198.59,2,0,8,2,7,7
STU20087,Student_88,student88@strathmore.edu,SBS,BCOM,4,2022-01-15,83.76,85.33,0.83,95.0,4.0,12.71,186.83,2,0,12,0,6,6
STU20088,Student_89,student89@strathmore.edu,SCES,ICS,1,2024-12-11,37.39,50.0,0.5,68.2,3.13,8.11,124.75,14,3,10,2,9,8
STU20089,Student_90,student90@strathmore.edu,SCES,BBIT,2,2023-10-21,90.24,90.58,0.76,89.57,4.0,14.89,220.51,2,0,16,0,7,8
STU20090,Student_91,student91@strathmore.edu,SCES,CNS,4,2021-09-08,80.87,77.53,0.66,95.0,4.0,11.39,199.29,3,0,15,4,8,8
STU20091,Student_92,student92@strathmore.edu,STH,BHM,1,2024-11-05,89.96,74.97,0.83,93.41,4.0,11.53,195.61,3,0,11,1,6,8
STU20092,Student_93,student93@strathmore.edu,SHSS,BA,3,2022-09-18,80.11,77.92,0.55,94.05,4.0,11.47,192.44,4,0,14,7,4,8
STU20093,Student_94,student94@strathmore.edu,SCES,ICS,1,2024-10-02,90.83,86.82,0.72,79.82,4.0,13.39,196.4,1,0,12,0,3,7
STU20094,Student_95,student95@strathmore.edu,SBS,BSCM,3,2022-10-08,85.13,78.13,0.85,91.26,4.0,11.39,202.49,3,0,9,1,5,5
STU20095,Student_96,student96@strathmore.edu,SCES,BBIT,2,2023-08-19,93.06,87.16,0.73,90.82,4.0,12.2,199.28,3,0,10,0,5,8
STU20096,Student_97,student97@strathmore.edu,SLS,LAW,1,2024-11-29,33.01,50.0,0.5,78.44,3.16,7.78,109.98,10,2,13,4,7,6
STU20097,Student_98,student98@strathmore.edu,STH,BHM,2,2023-10-30,85.23,81.72,0.77,79.3,4.0,10.81,183.66,3,0,14,4,7,7
STU20098,Student_99,student99@strathmore.edu,SCES,ICS,2,2023-09-19,90.83,83.49,0.78,84.48,4.0,12.8,172.16,0,0,14,0,8,6
STU20099,Student_100,student100@strathmore.edu,SCES,BBIT,3,2022-08-22,83.86,77.65,0.93,92.12,4.0,10.93,170.97,0,0,13,0,2,6
STU20100,Student_101,student101@strathmore.edu,SBS,BFS,3,2022-12-05,43.48,50.0,0.5,62.76,2.82,7.55,121.69,11,1,11,1,14,5
STU20101,Student_102,student102@strathmore.edu,STH,BHM,4,2021-10-08,89.85,88.59,0.58,95.0,4.0,13.07,177.72,4,0,16,2,7,6
STU20102,Student_103,student103@strathmore.edu,SBS,BFS,4,2022-01-06,63.73,72.08,0.6,84.43,3.81,10.22,170.66,9,2,9,3,4,5
STU20103,Student_104,student104@strathmore.edu,SHSS,COMMON UNITS,1,2024-11-16,85.43,77.68,0.79,88.79,3.87,11.66,163.89,4,0,18,4,3,8
STU20104,Student_105,student105@strathmore.edu,SBS,BCOM,1,2024-08-11,87.15,83.91,0.91,91.81,4.0,12.83,156.54,1,0,12,2,10,7
STU20105,Student_106,student106@strathmore.edu,SCES,ICS,3,2022-09-13,62.52,61.69,0.53,85.24,3.51,9.53,132.9,10,2,10,6,10,8
STU20106,Student_107,student107@strathmore.edu,STH,BTM,1,2024-08-22,65.96,62.99,0.61,80.58,3.58,9.21,141.56,10,1,15,2,6,8
STU20107,Student_108,student108@strathmore.edu,SLS,LAW,2,2023-11-04,60.61,52.22,0.5,67.57,3.03,10.29,120.2,8,0,14,6,8,8
STU20108,Student_109,student109@strathmore.edu,STH,BHM,3,2022-08-22,91.1,93.43,0.85,95.0,4.0,14.09,218.13,1,0,16,0,6,8
STU20109,Student_110,student110@strathmore.edu,STH,BHM,3,2022-09-06,86.42,84.51,0.93,92.64,4.0,12.71,187.25,3,0,14,3,7,6
STU20110,Student_111,student111@strathmore.edu,SLS,LAW,4,2021-12-04,61.64,66.52,0.63,95.0,4.0,11.42,151.65,5,1,8,2,11,7
STU20111,Student_112,student112@strathmore.edu,SLS,LAW,4,2021-12-20,65.57,59.3,0.5,69.46,3.14,10.26,136.25,5,1,6,4,9,7
STU20112,Student_113,student113@strathmore.edu,STH,BTM,2,2023-09-05,91.35,80.68,0.94,95.0,4.0,12.68,195.26,2,0,9,2,5,6
STU20113,Student_114,student114@strathmore.edu,SLS,LAW,1,2024-10-22,91.95,76.45,0.94,86.95,4.0,10.54,183.42,0,0,8,3,8,8
STU20114,Student_115,student115@strathmore.edu,SCES,ICS,2,2024-01-31,87.73,82.87,0.86,85.25,4.0,13.79,178.85,3,0,13,2,7,6
STU20115,Student_116,student116@strathmore.edu,SHSS,COMMON UNITS,3,2022-11-18,80.98,72.09,0.74,95.0,3.98,11.68,159.8,3,0,10,4,4,8
STU20116,Student_117,student117@strathmore.edu,SHSS,COMMON UNITS,2,2023-10-19,84.65,78.35,0.88,91.84,4.0,12.11,175.24,4,0,11,5,4,7
STU20117,Student_118,student118@strathmore.edu,SBS,BCOM,1,2024-12-01,85.8,69.58,0.84,93.46,4.0,12.03,168.6,3,0,15,6,9,6
STU20118,Student_119,student119@strathmore.edu,SBS,BCOM,1,2024-09-19,87.94,82.01,0.95,95.0,4.0,11.76,163.7,2,0,11,4,6,6
STU20119,Student_120,student120@strathmore.edu,SHSS,COMMON UNITS,1,2024-09-06,60.89,57.68,0.6,72.19,3.07,10.33,143.61,10,1,12,7,8,5
STU20120,Student_121,student121@strathmore.edu,SBS,BFS,1,2024-11-03,93.46,81.5,0.95,92.79,4.0,12.03,183.02,1,0,9,4,8,5
STU20121,Student_122,student122@strathmore.edu,SCES,CNS,1,2025-01-23,85.3,71.68,0.85,84.89,4.0,9.75,168.97,4,0,10,6,9,7
STU20122,Student_123,student123@strathmore.edu,SCES,BBIT,3,2022-10-02,63.65,63.29,0.63,94.23,4.0,10.41,131.87,10,0,20,2,7,7
STU20123,Student_124,student124@strathmore.edu,SBS,BCOM,2,2023-11-09,90.61,74.21,0.87,93.83,4.0,9.54,185.12,3,0,9,2,8,7
STU20124,Student_125,student125@strathmore.edu,SLS,LAW,1,2025-01-18,86.03,80.13,0.81,92.14,4.0,11.68,177.76,3,0,13,1,9,5
STU20125,Student_126,student126@strathmore.edu,SBS,BCOM,3,2023-01-22,94.26,86.85,0.86,89.4,4.0,12.67,186.44,4,0,14,2,3,7
STU20126,Student_127,student127@strathmore.edu,SHSS,COMMON UNITS,4,2022-01-05,90.63,81.62,0.75,81.35,4.0,11.97,157.7,0,0,11,1,9,6
STU20127,Student_128,student128@strathmore.edu,STH,BHM,2,2023-10-14,88.44,75.68,0.72,87.1,4.0,12.83,154.27,4,0,11,3,8,7
STU20128,Student_129,student129@strathmore.edu,SCES,BBIT,3,2022-09-01,77.97,70.48,0.51,92.64,3.79,11.09,164.5,4,0,8,1,7,6
STU20129,Student_130,student130@strathmore.edu,SBS,BSCM,1,2024-12-04,66.49,56.06,0.68,76.71,3.34,7.12,126.21,7,2,7,0,9,5
STU20130,Student_131,student131@strathmore.edu,SHSS,COMMON UNITS,2,2023-08-12,63.63,69.11,0.69,87.93,4.0,11.44,176.58,6,0,12,2,7,7
STU20131,Student_132,student132@strathmore.edu,STH,BHM,1,2024-08-07,83.59,85.38,0.74,80.81,3.91,12.25,206.3,0,0,12,5,5,5
STU20132,Student_133,student133@strathmore.edu,SHSS,BA,4,2021-08-28,90.45,72.54,0.76,91.31,4.0,9.81,159.8,1,0,20,0,7,8
STU20133,Student_134,student134@strathmore.edu,STH,BTM,1,2024-12-27,30.76,50.0,0.5,66.66,2.73,6.96,124.36,9,3,7,5,13,5
STU20134,Student_135,student135@strathmore.edu,SHSS,COMMON UNITS,1,2024-11-17,83.96,75.01,0.79,90.34,4.0,11.82,164.78,0,0,9,2,10,8
STU20135,Student_136,student136@strathmore.edu,SLS,LAW,2,2023-11-19,88.51,81.39,0.71,92.34,4.0,12.69,168.11,0,0,11,1,5,8
STU20136,Student_137,student137@strathmore.edu,SLS,LAW,1,2025-01-24,92.16,86.42,0.86,95.0,4.0,13.49,190.72,3,0,10,1,4,7
STU20137,Student_138,student138@strathmore.edu,SHSS,BA,1,2024-08-15,84.7,81.91,0.76,86.34,4.0,12.17,197.16,0,0,17,2,6,7
STU20138,Student_139,student139@strathmore.edu,SLS,LAW,1,2024-12-21,85.15,72.05,0.95,95.0,4.0,10.64,155.11,4,0,8,7,7,7
STU20139,Student_140,student140@strathmore.edu,SLS,LAW,4,2021-10-16,89.62,81.8,0.9,90.01,4.0,12.28,175.92,1,0,16,2,1,8
STU20140,Student_141,student141@strathmore.edu,SCES,BBIT,2,2023-11-14,93.89,83.6,0.87,85.93,4.0,11.9,205.52,2,0,11,5,3,7
STU20141,Student_142,student142@strathmore.edu,SLS,LAW,3,2022-11-23,91.02,84.44,0.77,84.41,4.0,13.3,190.59,3,0,11,2,10,8
STU20142,Student_143,student143@strathmore.edu,SLS,LAW,1,2025-01-05,63.61,61.58,0.5,74.65,3.11,9.89,153.58,5,1,6,2,12,8
STU20143,Student_144,student144@strathmore.edu,STH,BHM,1,2024-09-24,86.82,81.11,0.83,85.1,4.0,13.13,197.8,3,0,9,0,5,8
STU20144,Student_145,student145@strathmore.edu,SBS,BFS,1,2024-09-16,90.15,78.13,0.73,87.66,4.0,10.61,159.82,0,0,13,2,7,8
STU20145,Student_146,student146@strathmore.edu,SHSS,BA,1,2024-08-26,82.84,68.03,0.75,88.14,4.0,11.33,168.3,3,0,14,3,8,6
STU20146,Student_147,student147@strathmore.edu,SLS,LAW,2,2023-09-16,87.69,83.65,0.85,81.46,4.0,10.9,183.24,2,0,15,0,9,6
STU20147,Student_148,student148@strathmore.edu,SBS,BFS,2,2024-01-05,78.11,69.97,0.65,77.69,3.86,10.98,185.64,0,0,11,0,9,7
STU20148,Student_149,student149@strathmore.edu,SLS,LAW,3,2022-10-21,88.3,72.51,0.67,90.61,4.0,10.06,160.87,4,0,14,4,9,6
STU20149,Student_150,student150@strathmore.edu,SHSS,BA,1,2024-12-17,60.25,67.75,0.62,92.13,3.89,10.94,163.09,8,2,12,2,5,5
STU20150,Student_151,student151@strathmore.edu,STH,BHM,3,2022-10-21,86.86,79.0,0.8,92.12,4.0,13.96,151.84,2,0,14,2,7,5
STU20151,Student_152,student152@strathmore.edu,SHSS,COMMON UNITS,3,2022-09-07,93.7,82.81,0.83,88.49,4.0,10.83,182.1,2,0,9,3,0,6
STU20152,Student_153,student153@strathmore.edu,STH,BHM,2,2023-11-08,89.65,86.86,0.85,79.18,4.0,12.53,211.03,3,0,12,0,4,8
STU20153,Student_154,student154@strathmore.edu,SBS,BSCM,4,2021-08-10,82.95,76.02,0.66,89.68,4.0,10.95,152.52,2,0,14,4,4,8
STU20154,Student_155,student155@strathmore.edu,SCES,ICS,4,2021-10-22,82.44,64.77,0.78,91.68,4.0,12.05,149.14,1,0,9,0,5,8
STU20155,Student_156,student156@strathmore.edu,SBS,BFS,2,2023-08-19,85.6,79.28,0.78,92.5,4.0,11.78,167.97,3,0,13,1,6,5
STU20156,Student_157,student157@strathmore.edu,STH,BTM,2,2023-09-06,90.28,84.66,0.79,79.07,4.0,13.73,195.38,1,0,14,0,10,8
STU20157,Student_158,student158@strathmore.edu,SCES,CNS,2,2023-10-11,89.98,79.66,0.78,81.07,4.0,13.11,198.62,0,0,12,1,4,6
STU20158,Student_159,student159@strathmore.edu,SLS,LAW,4,2022-01-16,31.13,50.0,0.5,69.01,2.91,9.27,120.21,14,3,5,7,11,7
STU20159,Student_160,student160@strathmore.edu,SCES,ICS,3,2022-08-22,84.25,84.25,0.9,87.19,4.0,14.52,193.77,4,0,18,2,5,8
STU20160,Student_161,student161@strathmore.edu,SHSS,BA,3,2022-10-03,62.78,61.59,0.58,88.84,4.0,10.86,154.17,7,2,10,5,7,5
STU20161,Student_162,student162@strathmore.edu,SBS,BSCM,3,2022-11-23,88.13,92.25,0.53,81.18,4.0,13.31,203.23,1,0,18,1,10,5
STU20162,Student_163,student163@strathmore.edu,SCES,ICS,3,2022-08-08,61.46,53.27,0.69,77.65,3.36,8.32,145.78,8,0,13,5,5,6
STU20163,Student_164,student164@strathmore.edu,STH,BTM,4,2022-01-24,88.28,77.05,0.69,92.13,3.79,11.3,169.03,2,0,17,1,3,7
STU20164,Student_165,student165@strathmore.edu,SBS,BSCM,2,2023-12-29,84.4,76.4,0.65,88.13,4.0,11.04,163.89,2,0,12,3,4,8
STU20165,Student_166,student166@strathmore.edu,SBS,BCOM,3,2022-12-20,88.24,78.8,0.79,90.16,4.0,11.17,192.67,4,0,13,1,7,5
STU20166,Student_167,student167@strathmore.edu,SLS,LAW,3,2022-12-05,61.23,58.61,0.5,73.84,3.45,10.26,133.59,9,1,13,3,9,6
STU20167,Student_168,student168@strathmore.edu,SCES,ICS,1,2024-11-30,64.69,67.8,0.56,86.18,3.65,11.11,147.37,8,2,5,3,10,7
STU20168,Student_169,student169@strathmore.edu,STH,BHM,1,2024-10-13,89.54,77.76,0.8,80.34,4.0,11.04,185.61,4,0,5,3,2,8
STU20169,Student_170,student170@strathmore.edu,SBS,BFS,2,2023-11-19,90.66,85.57,0.89,89.15,4.0,11.89,170.96,2,0,18,0,10,8
STU20170,Student_171,student171@strathmore.edu,STH,BHM,1,2024-09-10,91.76,79.11,0.88,92.62,4.0,11.56,173.53,0,0,14,1,1,7
STU20171,Student_172,student172@strathmore.edu,SHSS,BA,2,2024-02-02,65.29,66.04,0.5,90.79,3.8,9.88,169.81,5,2,13,2,12,8
STU20172,Student_173,student173@strathmore.edu,SBS,BSCM,3,2022-11-06,64.83,56.16,0.55,78.54,3.28,10.13,148.1,7,0,11,3,3,6
STU20173,Student_174,student174@strathmore.edu,SBS,BSCM,1,2024-08-19,91.1,76.31,0.95,86.08,4.0,12.68,175.76,4,0,15,3,10,5
