student_id,name,email,gender,age,program_id,program_code,school_id,year_of_study,semester,class_level,enrollment_date,status
100049,Joyce Njoroge,joyce.njoroge49@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-10-29,Active
100050,Brian Mwangi,brian.mwangi50@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-11-24,Active
100051,Michael Wanjiru,michael.wanjiru51@strathmore.edu,Female,20,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-09-18,Active
100052,Brian Muthoni,brian.muthoni52@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-09-19,Active
100053,Nancy Njoroge,nancy.njoroge53@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-08-02,Active
100054,Sarah Nyambura,sarah.nyambura54@strathmore.edu,Female,23,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-07-14,Active
100055,James Njoroge,james.njoroge55@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-09-27,Active
100056,John Nyambura,john.nyambura56@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-09-11,Active
100057,Joyce Njoroge,joyce.njoroge57@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-08-30,Active
100058,Caroline Mutua,caroline.mutua58@strathmore.edu,Female,19,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-11-18,Active
100059,Mary Wambui,mary.wambui59@strathmore.edu,Female,24,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-07-31,Active
100060,Vincent Mwangi,vincent.mwangi60@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-07-25,Active
100061,Sarah Njeri,sarah.njeri61@strathmore.edu,Female,19,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-08-19,Active
100062,Sarah Kariuki,sarah.kariuki62@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-08-05,Active
100063,Brian Njeri,brian.njeri63@strathmore.edu,Female,24,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-11-03,Active
100064,Emmanuel Otieno,emmanuel.otieno64@strathmore.edu,Female,24,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-12-20,Active
100065,Faith Otieno,faith.otieno65@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-12-01,Active
100066,Vincent Kibet,vincent.kibet66@strathmore.edu,Female,22,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-10-16,Active
100067,Ann Wanjiru,ann.wanjiru67@strathmore.edu,Female,19,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-08-14,Active
100068,John Chebet,john.chebet68@strathmore.edu,Female,21,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-09-06,Active
100069,Ann Wangui,ann.wangui69@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-11-26,Active
100070,James Jepkorir,james.jepkorir70@strathmore.edu,Male,18,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-07-27,Active
100071,Kevin Achieng,kevin.achieng71@strathmore.edu,Female,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-11-14,Active
100072,Daniel Mwangi,daniel.mwangi72@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-09-10,Active
100073,Nancy Wanjiru,nancy.wanjiru73@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,3,1,BFS3.1,2023-01-01,On Leave
100074,David Kamau,david.kamau74@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-07-21,Active
100075,David Kariuki,david.kariuki75@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-11-28,On Leave
100076,Sarah Kamau,sarah.kamau76@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,3,2,BCOM3.2,2022-12-20,Active
100077,Emmanuel Wambui,emmanuel.wambui77@strathmore.edu,Male,18,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-10-11,Active
100078,Joyce Chebet,joyce.chebet78@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-09-04,Active
100079,Ruth Kariuki,ruth.kariuki79@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-08-04,Active
100080,Nancy Wangui,nancy.wangui80@strathmore.edu,Female,23,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-11-07,Active
100081,Peter Otieno,peter.otieno81@strathmore.edu,Female,24,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-10-14,Active
100082,Daniel Achieng,daniel.achieng82@strathmore.edu,Female,23,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-10-13,Active
100083,Caroline Otieno,caroline.otieno83@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-25,Active
100084,Faith Wangui,faith.wangui84@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-10-25,Active
100085,Vincent Wambui,vincent.wambui85@strathmore.edu,Female,22,SBS_BCOM,BCOM,SBS,3,2,BCOM3.2,2022-09-22,On Leave
100086,Nancy Mutua,nancy.mutua86@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-11-05,Active
100087,Rose Njoroge,rose.njoroge87@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-11-14,Active
100088,Michael Kipchoge,michael.kipchoge88@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-11-11,Active
100089,Jane Kamau,jane.kamau89@strathmore.edu,Male,19,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-08-20,Active
100090,James Wangui,james.wangui90@strathmore.edu,Female,21,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-09-07,Active
100091,Grace Wanjiru,grace.wanjiru91@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-09-28,Active
100092,Samuel Wanjiru,samuel.wanjiru92@strathmore.edu,Female,19,SBS_BFS,BFS,SBS,2,1,BFS2.1,2023-11-06,Active
100093,Ann Wambui,ann.wambui93@strathmore.edu,Female,23,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-08-11,On Leave
100094,Jane Wanjiru,jane.wanjiru94@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-07-22,Active
100095,Faith Achieng,faith.achieng95@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-14,Active
100096,Lucy Nyambura,lucy.nyambura96@strathmore.edu,Female,20,SBS_BFS,BFS,SBS,1,1,BFS1.1,2024-07-12,Active
100097,Peter Wambui,peter.wambui97@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-08-22,Active
100098,James Otieno,james.otieno98@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-10-22,Active
100099,Samuel Nyambura,samuel.nyambura99@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-07-13,Active
100100,Michael Kipchoge,michael.kipchoge100@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-09-20,Active
100101,Caroline Otieno,caroline.otieno101@strathmore.edu,Male,18,SBS_BFS,BFS,SBS,1,1,BFS1.1,2024-07-19,Active
100102,Samuel Wanjiru,samuel.wanjiru102@strathmore.edu,Female,21,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-11-23,On Leave
100103,Ann Wangui,ann.wangui103@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-10-14,Active
100104,Sarah Achieng,sarah.achieng104@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-07-23,On Leave
100105,Nancy Wanjiru,nancy.wanjiru105@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-10-18,Active
100106,Joseph Kipchoge,joseph.kipchoge106@strathmore.edu,Female,18,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-11-20,Active
100107,Caroline Wangui,caroline.wangui107@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-08-21,Active
100108,Jane Kariuki,jane.kariuki108@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-11-29,Active
100109,John Jepkorir,john.jepkorir109@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-09-12,On Leave
100110,Emmanuel Kibet,emmanuel.kibet110@strathmore.edu,Female,24,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-09-07,On Leave
100111,Faith Kariuki,faith.kariuki111@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-12-22,Active
100112,Ann Mutua,ann.mutua112@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-08-11,Active
100113,Joyce Wangui,joyce.wangui113@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-10-15,Active
100114,Nancy Mwangi,nancy.mwangi114@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-08-15,Active
100115,Ann Wanjiru,ann.wanjiru115@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,3,2,BCOM3.2,2022-07-23,Active
100116,Emmanuel Kibet,emmanuel.kibet116@strathmore.edu,Male,23,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-12-14,Active
100117,Kevin Muthoni,kevin.muthoni117@strathmore.edu,Male,24,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-07-25,On Leave
100118,Peter Wangui,peter.wangui118@strathmore.edu,Female,20,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-10-16,Active
100119,Nancy Mwangi,nancy.mwangi119@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-11-09,Active
100120,Jane Wambui,jane.wambui120@strathmore.edu,Male,18,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-09-16,Active
100121,Jane Kamau,jane.kamau121@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-10-08,Active
100122,James Wambui,james.wambui122@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-12-19,Active
100123,Joseph Wambui,joseph.wambui123@strathmore.edu,Male,24,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-07-29,Active
100124,Michael Kamau,michael.kamau124@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-09-17,On Leave
100125,Samuel Nyambura,samuel.nyambura125@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-11-19,On Leave
100126,Lucy Muthoni,lucy.muthoni126@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-07-13,Active
100127,Joyce Mwangi,joyce.mwangi127@strathmore.edu,Male,23,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-10-27,Active
100128,Faith Chebet,faith.chebet128@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-08-01,Active
100129,Emmanuel Wanjiru,emmanuel.wanjiru129@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,3,2,BCOM3.2,2022-12-06,Active
100130,Jane Mutua,jane.mutua130@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-08-23,Active
100131,Ruth Kipchoge,ruth.kipchoge131@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,3,1,BCOM3.1,2022-10-25,Active
100132,Daniel Muthoni,daniel.muthoni132@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-07-19,Active
100133,Joseph Jepkorir,joseph.jepkorir133@strathmore.edu,Female,20,SBS_BCOM,BCOM,SBS,3,1,BCOM3.1,2022-11-02,Active
100134,Kevin Chebet,kevin.chebet134@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-07-20,Active
100135,John Jepkorir,john.jepkorir135@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-07-13,Active
100136,Ann Muthoni,ann.muthoni136@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-09-04,Active
100137,Faith Jepkorir,faith.jepkorir137@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-07-21,On Leave
100138,Vincent Jepkorir,vincent.jepkorir138@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-09-05,Active
100139,Michael Wanjiru,michael.wanjiru139@strathmore.edu,Female,23,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-11-09,Active
100140,Sarah Chebet,sarah.chebet140@strathmore.edu,Female,22,SBS_BCOM,BCOM,SBS,3,1,BCOM3.1,2022-11-21,On Leave
100141,Kevin Ochieng,kevin.ochieng141@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-11-07,On Leave
100142,Samuel Njoroge,samuel.njoroge142@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-10-15,Active
100143,Caroline Kamau,caroline.kamau143@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-11-25,Active
100144,John Kibet,john.kibet144@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2025-01-03,Active
100145,Mary Kibet,mary.kibet145@strathmore.edu,Male,24,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-09-16,Active
100146,Brian Muthoni,brian.muthoni146@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-09-13,Active
100147,John Wanjiru,john.wanjiru147@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-09-05,Active
100148,Kevin Ochieng,kevin.ochieng148@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-06,Active
100149,Emmanuel Jepkorir,emmanuel.jepkorir149@strathmore.edu,Female,23,SBS_BSCM,BSCM,SBS,3,2,BSCM3.2,2022-09-01,Active
100150,Sarah Muthoni,sarah.muthoni150@strathmore.edu,Female,20,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-09-25,Active
100151,Kevin Mwangi,kevin.mwangi151@strathmore.edu,Female,24,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-10-20,Active
100152,Ruth Kibet,ruth.kibet152@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-12-16,Active
100153,Rose Chebet,rose.chebet153@strathmore.edu,Female,19,SBS_BFS,BFS,SBS,2,1,BFS2.1,2023-09-25,Active
100154,Joyce Njeri,joyce.njeri154@strathmore.edu,Female,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-12,Active
100155,David Kibet,david.kibet155@strathmore.edu,Male,23,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-08-19,Active
100156,Michael Wambui,michael.wambui156@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-11-23,Active
100157,Jane Mutua,jane.mutua157@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,3,1,BCOM3.1,2022-08-17,Active
100158,Peter Kibet,peter.kibet158@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,1,1,BFS1.1,2024-09-22,Active
100159,Grace Chebet,grace.chebet159@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-11-30,Active
100160,Caroline Wanjiru,caroline.wanjiru160@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-09-05,Active
100161,Ann Otieno,ann.otieno161@strathmore.edu,Female,22,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-12-11,Active
100162,Joyce Wangui,joyce.wangui162@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-08-08,Active
100163,David Nyambura,david.nyambura163@strathmore.edu,Female,21,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-10-17,Active
100164,Lucy Njeri,lucy.njeri164@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,2,1,BSCM2.1,2023-09-02,Active
100165,Joyce Chebet,joyce.chebet165@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2025-01-03,Active
100166,Peter Mutua,peter.mutua166@strathmore.edu,Female,23,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-12-10,Active
100167,Daniel Achieng,daniel.achieng167@strathmore.edu,Male,24,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-12-12,Active
100168,Samuel Mwangi,samuel.mwangi168@strathmore.edu,Female,20,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-11-12,Active
100169,Grace Ochieng,grace.ochieng169@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-07-26,Active
100170,Faith Muthoni,faith.muthoni170@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-07,Active
100171,Emmanuel Ochieng,emmanuel.ochieng171@strathmore.edu,Female,22,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-07-18,On Leave
100172,Samuel Mutua,samuel.mutua172@strathmore.edu,Female,20,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-09-10,Active
100173,Jane Otieno,jane.otieno173@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-09-11,Active
100174,Mary Chebet,mary.chebet174@strathmore.edu,Male,23,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-09-12,Active
100175,Rose Wanjiru,rose.wanjiru175@strathmore.edu,Female,24,SBS_BCOM,BCOM,SBS,4,1,BCOM4.1,2021-09-02,Active
100176,Mary Kariuki,mary.kariuki176@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-28,Active
100177,Kevin Kariuki,kevin.kariuki177@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-10-01,Active
100178,Daniel Wanjiru,daniel.wanjiru178@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-08-19,Active
100179,Jane Otieno,jane.otieno179@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-10-11,Active
100180,Emmanuel Mwangi,emmanuel.mwangi180@strathmore.edu,Female,22,SBS_BFS,BFS,SBS,2,1,BFS2.1,2023-07-28,Active
100181,James Kipchoge,james.kipchoge181@strathmore.edu,Female,18,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-10-07,Active
100182,David Mutua,david.mutua182@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-11-30,Active
100183,Sarah Kipchoge,sarah.kipchoge183@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-11-29,Active
100184,Vincent Achieng,vincent.achieng184@strathmore.edu,Female,23,SBS_BFS,BFS,SBS,4,1,BFS4.1,2021-07-19,Active
100185,Kevin Nyambura,kevin.nyambura185@strathmore.edu,Male,23,SBS_BSCM,BSCM,SBS,4,1,BSCM4.1,2021-09-10,Active
100186,David Chebet,david.chebet186@strathmore.edu,Female,24,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-09-02,Active
100187,Grace Njoroge,grace.njoroge187@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-10-05,Active
100188,Sarah Kipchoge,sarah.kipchoge188@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-10-30,Active
